Niveau;Damage;Attack speed;Effectif;Coût;Prix de l'upgrade;;;
72;9,98;4,09;14;73;16570;;;
73;10,23;4,09;14;73;16967;;;
74;10,23;4,20;14;73;17368;;;
75;10,23;4,20;15;73;17773;;;
76;10,49;4,20;15;73;18181;;;
77;10,49;4,30;15;73;18593;;;
78;10,75;4,30;15;73;19009;;;
79;10,75;4,41;15;73;19429;;;
80;10,75;4,41;15;72;19852;;;
81;11,02;4,41;15;72;20279;;;
82;11,02;4,52;15;72;20710;;;
83;11,29;4,52;15;72;21145;;;
84;11,29;4,63;15;72;21583;;;
85;11,29;4,63;16;72;22025;;;
86;11,58;4,63;16;72;22471;;;
87;11,58;4,75;16;72;22920;;;
88;11,87;4,75;16;72;23373;;;
89;11,87;4,87;16;72;23829;;;
90;11,87;4,87;16;71;24289;;;
91;12,16;4,87;16;71;24753;;;
92;12,16;4,99;16;71;25220;;;
93;12,47;4,99;16;71;25691;;;
94;12,47;5,11;16;71;26166;;;
95;12,47;5,11;17;71;26644;;;
96;12,78;5,11;17;71;27125;;;
97;12,78;5,24;17;71;27610;;;
98;13,10;5,24;17;71;28099;;;
99;13,10;5,37;17;71;28591;;;
100;13,10;5,37;17;70;29086;;;
101;13,43;5,37;17;70;29585;;;
102;13,43;5,50;17;70;30088;;;
103;13,76;5,50;17;70;30594;;;
104;13,76;5,64;17;70;31103;;;
105;14,10;5,64;17;70;31616;;;
106;14,10;5,78;17;70;32132;;;
107;14,46;5,78;17;70;32652;;;
108;14,46;5,93;17;70;33175;;;
109;14,82;5,93;17;70;33701;;;
110;14,82;5,93;18;70;34231;;;
111;14,82;6,08;18;70;34764;;;
112;15,19;6,08;18;70;35301;;;
113;15,19;6,23;18;70;35841;;;
114;15,57;6,23;18;70;36384;;;
115;15,57;6,38;18;70;36931;;;
116;15,96;6,38;18;70;37481;;;
117;15,96;6,54;18;70;38034;;;
118;16,36;6,54;18;70;38590;;;
119;16,36;6,71;18;70;39150;;;
120;16,36;6,71;18;69;39714;;;
121;16,77;6,71;18;69;40280;;;
122;16,77;6,87;18;69;40850;;;
123;17,19;6,87;18;69;41423;;;
124;17,19;7,05;18;69;41999;;;
125;17,62;7,05;18;69;42579;;;
126;17,62;7,22;18;69;43161;;;
127;18,06;7,22;18;69;43747;;;
128;18,06;7,40;18;69;44337;;;
129;18,51;7,40;18;69;44929;;;
130;18,51;7,40;19;69;45525;;;
131;18,51;7,59;19;69;46124;;;
132;18,97;7,59;19;69;46726;;;
133;18,97;7,78;19;69;47331;;;
134;19,44;7,78;19;69;47940;;;
135;19,44;7,97;19;69;48551;;;
136;19,93;7,97;19;69;49166;;;
137;19,93;8,17;19;69;49784;;;
138;20,43;8,17;19;69;50405;;;
139;20,43;8,38;19;69;51029;;;
140;20,43;8,38;19;68;51657;;;
141;20,94;8,38;19;68;52287;;;
142;20,94;8,58;19;68;52921;;;
143;21,46;8,58;19;68;53558;;;
144;21,46;8,80;19;68;54198;;;
145;22,00;8,80;19;68;54841;;;
146;22,00;9,02;19;68;55487;;;
147;22,55;9,02;19;68;56136;;;
148;22,55;9,25;19;68;56788;;;
149;23,11;9,25;19;68;57444;;;
150;23,11;9,25;20;68;58102;;;
151;23,11;9,48;20;68;58764;;;
152;23,69;9,48;20;68;59428;;;
153;23,69;9,71;20;68;60096;;;
154;24,28;9,71;20;68;60767;;;
155;24,28;9,96;20;68;61440;;;
156;24,89;9,96;20;68;62117;;;
157;24,89;10,20;20;68;62797;;;
158;25,51;10,20;20;68;63480;;;
159;25,51;10,46;20;68;64166;;;
160;25,51;10,46;20;68;64854;;;
161;26,15;10,46;20;67;65546;;;
162;26,15;10,72;20;67;66241;;;
163;26,80;10,72;20;67;66939;;;
164;26,80;10,99;20;67;67640;;;
165;27,47;10,99;20;67;68344;;;
166;27,47;11,26;20;67;69050;;;
167;28,16;11,26;20;67;69760;;;
168;28,16;11,55;20;67;70473;;;
169;28,86;11,55;20;67;71189;;;
170;28,86;11,55;21;67;71907;;;
171;28,86;11,83;21;67;72629;;;
172;29,59;11,83;21;67;73354;;;
173;29,59;12,13;21;67;74081;;;
174;30,33;12,13;21;67;74811;;;
175;30,33;12,43;21;67;75545;;;
176;31,08;12,43;21;67;76281;;;
177;31,08;12,74;21;67;77020;;;
178;31,86;12,74;21;67;77762;;;
179;31,86;13,06;21;67;78507;;;
180;31,86;13,06;21;66;79255;;;
181;32,66;13,06;21;66;80006;;;
182;32,66;13,39;21;66;80760;;;
183;33,47;13,39;21;66;81517;;;
184;33,47;13,72;21;66;82276;;;
185;34,31;13,72;21;66;83038;;;
186;34,31;14,07;21;66;83804;;;
187;35,17;14,07;21;66;84572;;;
188;35,17;14,42;21;66;85343;;;
189;36,05;14,42;21;66;86117;;;
190;36,05;14,42;22;66;86893;;;
191;36,05;14,78;22;66;87673;;;
192;36,95;14,78;22;66;88455;;;
193;36,95;15,15;22;66;89241;;;
194;37,87;15,15;22;66;90029;;;
195;37,87;15,53;22;66;90820;;;
196;38,82;15,53;22;66;91613;;;
197;38,82;15,92;22;66;92410;;;
198;39,79;15,92;22;66;93209;;;
199;39,79;16,31;22;66;94011;;;
200;39,79;16,31;22;65;94816;;;
201;40,78;16,31;22;65;95624;;;
202;40,78;16,72;22;65;96435;;;
203;41,80;16,72;22;65;97248;;;
204;41,80;17,14;22;65;98065;;;
205;42,85;17,14;22;65;98884;;;
206;42,85;17,57;22;65;99705;;;
207;43,92;17,57;22;65;100530;;;
208;43,92;18,01;22;65;101357;;;
209;45,02;18,01;22;65;102187;;;
210;45,02;18,46;22;65;103020;;;
211;46,14;18,46;22;65;103856;;;
212;46,14;18,92;22;65;104694;;;
213;47,30;18,92;22;65;105535;;;
214;47,30;19,39;22;65;106379;;;
215;47,30;19,39;23;65;107226;;;
216;48,48;19,39;23;65;108075;;;
217;48,48;19,88;23;65;108928;;;
218;49,69;19,88;23;65;109782;;;
219;49,69;20,37;23;65;110640;;;
220;50,93;20,37;23;65;111500;;;
221;50,93;20,88;23;65;112364;;;
222;52,21;20,88;23;65;113229;;;
223;52,21;21,41;23;65;114098;;;
224;53,51;21,41;23;65;114969;;;
225;53,51;21,94;23;65;115843;;;
226;54,85;21,94;23;65;116720;;;
227;54,85;22,49;23;65;117599;;;
228;56,22;22,49;23;65;118481;;;
229;56,22;23,05;23;65;119366;;;
230;56,22;23,05;23;64;120253;;;
231;57,63;23,05;23;64;121143;;;
232;57,63;23,63;23;64;122036;;;
233;59,07;23,63;23;64;122932;;;
234;59,07;24,22;23;64;123830;;;
235;60,55;24,22;23;64;124731;;;
236;60,55;24,82;23;64;125634;;;
237;62,06;24,82;23;64;126540;;;
238;62,06;25,44;23;64;127449;;;
239;63,61;25,44;23;64;128361;;;
240;63,61;26,08;23;64;129275;;;
241;65,20;26,08;23;64;130191;;;
242;65,20;26,73;23;64;131111;;;
243;66,83;26,73;23;64;132033;;;
244;66,83;27,40;23;64;132958;;;
245;66,83;27,40;24;64;133885;;;
246;68,50;27,40;24;64;134815;;;
247;68,50;28,09;24;64;135748;;;
248;70,21;28,09;24;64;136683;;;
249;70,21;28,79;24;64;137621;;;
250;71,97;28,79;24;64;138561;;;
251;71,97;29,51;24;64;139505;;;
252;73,77;29,51;24;64;140450;;;
253;73,77;30,25;24;64;141399;;;
254;75,61;30,25;24;64;142350;;;
255;75,61;31,00;24;64;143303;;;
256;77,50;31,00;24;64;144259;;;
257;77,50;31,78;24;64;145218;;;
258;79,44;31,78;24;64;146180;;;
259;79,44;32,57;24;64;147144;;;
260;79,44;32,57;24;63;148110;;;
261;81,43;32,57;24;63;149079;;;
262;81,43;33,38;24;63;150051;;;
263;83,46;33,38;24;63;151025;;;
264;83,46;34,22;24;63;152002;;;
265;85,55;34,22;24;63;152982;;;
266;85,55;35,08;24;63;153964;;;
267;87,69;35,08;24;63;154948;;;
268;87,69;35,95;24;63;155936;;;
269;89,88;35,95;24;63;156925;;;
270;89,88;36,85;24;63;157918;;;
271;92,13;36,85;24;63;158913;;;
272;92,13;37,77;24;63;159910;;;
273;94,43;37,77;24;63;160910;;;
274;94,43;38,72;24;63;161912;;;
275;94,43;38,72;25;63;162918;;;
276;96,79;38,72;25;63;163925;;;
277;96,79;39,68;25;63;164935;;;
278;99,21;39,68;25;63;165948;;;
279;99,21;40,68;25;63;166963;;;
280;101,69;40,68;25;63;167981;;;
281;101,69;41,69;25;63;169001;;;
282;104,23;41,69;25;63;170024;;;
283;104,23;42,74;25;63;171049;;;
284;106,84;42,74;25;63;172077;;;
285;106,84;43,80;25;63;173108;;;
286;109,51;43,80;25;63;174141;;;
287;109,51;44,90;25;63;175176;;;
288;112,25;44,90;25;63;176214;;;
289;112,25;46,02;25;63;177254;;;
290;112,25;46,02;25;62;178297;;;
291;115,05;46,02;25;62;179343;;;
292;115,05;47,17;25;62;180391;;;
293;117,93;47,17;25;62;181441;;;
294;117,93;48,35;25;62;182494;;;
295;120,88;48,35;25;62;183549;;;
296;120,88;49,56;25;62;184607;;;
297;123,90;49,56;25;62;185668;;;
298;123,90;50,80;25;62;186730;;;
299;127,00;50,80;25;62;187796;;;
300;127,00;52,07;25;62;188864;;;
301;130,17;52,07;25;62;189934;;;
302;130,17;53,37;25;62;191007;;;
303;133,43;53,37;25;62;192082;;;
304;133,43;54,71;25;62;193160;;;
305;133,43;54,71;26;62;194240;;;
306;136,76;54,71;26;62;195323;;;
307;136,76;56,07;26;62;196408;;;
308;140,18;56,07;26;62;197495;;;
309;140,18;57,47;26;62;198585;;;
310;143,69;57,47;26;62;199678;;;
311;143,69;58,91;26;62;200773;;;
312;147,28;58,91;26;62;201870;;;
313;147,28;60,38;26;62;202970;;;
314;150,96;60,38;26;62;204072;;;
315;150,96;61,89;26;62;205177;;;
316;154,73;61,89;26;62;206284;;;
317;154,73;63,44;26;62;207394;;;
318;158,60;63,44;26;62;208506;;;
319;158,60;65,03;26;62;209620;;;
320;158,60;65,03;26;61;210737;;;
321;162,57;65,03;26;61;211856;;;
322;162,57;66,65;26;61;212978;;;
323;166,63;66,65;26;61;214102;;;
324;166,63;68,32;26;61;215229;;;
325;170,80;68,32;26;61;216358;;;
326;170,80;70,03;26;61;217489;;;
327;175,07;70,03;26;61;218623;;;
328;175,07;71,78;26;61;219759;;;
329;179,44;71,78;26;61;220898;;;
330;179,44;73,57;26;61;222039;;;
331;183,93;73,57;26;61;223182;;;
332;183,93;75,41;26;61;224328;;;
333;188,53;75,41;26;61;225476;;;
334;188,53;77,30;26;61;226627;;;
335;188,53;77,30;27;61;227780;;;
336;193,24;77,30;27;61;228936;;;
337;193,24;79,23;27;61;230093;;;
338;198,07;79,23;27;61;231254;;;
339;198,07;81,21;27;61;232416;;;
340;203,03;81,21;27;61;233581;;;
341;203,03;83,24;27;61;234749;;;
342;208,10;83,24;27;61;235918;;;
343;208,10;85,32;27;61;237090;;;
344;213,30;85,32;27;61;238265;;;
345;213,30;87,45;27;61;239442;;;
346;218,64;87,45;27;61;240621;;;
347;218,64;89,64;27;61;241803;;;
348;224,10;89,64;27;61;242987;;;
349;224,10;91,88;27;61;244173;;;
350;229,70;91,88;27;61;245362;;;
351;229,70;94,18;27;61;246553;;;
352;235,45;94,18;27;61;247746;;;
353;235,45;96,53;27;61;248942;;;
354;241,33;96,53;27;61;250140;;;
355;241,33;98,95;27;61;251341;;;
356;247,37;98,95;27;61;252544;;;
357;247,37;101,42;27;61;253749;;;
358;253,55;101,42;27;61;254956;;;
359;253,55;103,96;27;61;256166;;;
360;253,55;103,96;27;60;257379;;;
361;259,89;103,96;27;60;258593;;;
362;259,89;106,55;27;60;259810;;;
363;266,39;106,55;27;60;261029;;;
364;266,39;109,22;27;60;262251;;;
365;273,05;109,22;27;60;263475;;;
366;273,05;111,95;27;60;264701;;;
367;279,87;111,95;27;60;265930;;;
368;279,87;114,75;27;60;267161;;;
369;286,87;114,75;27;60;268394;;;
370;286,87;117,62;27;60;269629;;;
371;294,04;117,62;27;60;270867;;;
372;294,04;120,56;27;60;272107;;;
373;301,39;120,56;27;60;273350;;;
374;301,39;123,57;27;60;274595;;;
375;308,93;123,57;27;60;275842;;;
376;308,93;126,66;27;60;277091;;;
377;316,65;126,66;27;60;278343;;;
378;316,65;129,83;27;60;279597;;;
379;324,57;129,83;27;60;280853;;;
380;324,57;133,07;27;60;282112;;;
381;332,68;133,07;27;60;283373;;;
382;332,68;136,40;27;60;284636;;;
383;341,00;136,40;27;60;285902;;;
384;341,00;139,81;27;60;287170;;;
385;341,00;139,81;28;60;288440;;;
386;349,52;139,81;28;60;289713;;;
387;349,52;143,30;28;60;290987;;;
388;358,26;143,30;28;60;292264;;;
389;358,26;146,89;28;60;293544;;;
390;367,22;146,89;28;60;294825;;;
391;367,22;150,56;28;60;296109;;;
392;376,40;150,56;28;60;297395;;;
393;376,40;154,32;28;60;298684;;;
394;385,81;154,32;28;60;299975;;;
395;385,81;158,18;28;60;301268;;;
396;395,45;158,18;28;60;302563;;;
397;395,45;162,14;28;60;303860;;;
398;405,34;162,14;28;60;305160;;;
399;405,34;166,19;28;60;306462;;;
400;415,47;166,19;28;60;307767;;;
401;415,47;170,34;28;60;309073;;;
402;425,86;170,34;28;60;310382;;;
403;425,86;174,60;28;60;311693;;;
404;436,51;174,60;28;60;313007;;;
405;436,51;178,97;28;60;314322;;;
406;447,42;178,97;28;60;315640;;;
407;447,42;183,44;28;60;316961;;;
408;458,60;183,44;28;60;318283;;;
409;458,60;188,03;28;60;319608;;;
410;458,60;188,03;28;59;320935;;;
411;470,07;188,03;28;59;322264;;;
412;470,07;192,73;28;59;323595;;;
413;481,82;192,73;28;59;324929;;;
414;481,82;197,55;28;59;326265;;;
415;493,87;197,55;28;59;327603;;;
416;493,87;202,48;28;59;328944;;;
417;506,21;202,48;28;59;330286;;;
418;506,21;207,55;28;59;331631;;;
419;518,87;207,55;28;59;332978;;;
420;518,87;212,74;28;59;334328;;;
421;531,84;212,74;28;59;335679;;;
422;531,84;218,05;28;59;337033;;;
423;545,14;218,05;28;59;338389;;;
424;545,14;223,51;28;59;339747;;;
425;558,76;223,51;28;59;341108;;;
426;558,76;229,09;28;59;342471;;;
427;572,73;229,09;28;59;343835;;;
428;572,73;234,82;28;59;345203;;;
429;587,05;234,82;28;59;346572;;;
430;587,05;240,69;28;59;347944;;;
431;601,73;240,69;28;59;349317;;;
432;601,73;246,71;28;59;350694;;;
433;616,77;246,71;28;59;352072;;;
434;616,77;252,88;28;59;353452;;;
435;616,77;252,88;29;59;354835;;;
436;632,19;252,88;29;59;356220;;;
437;632,19;259,20;29;59;357607;;;
438;647,99;259,20;29;59;358996;;;
439;647,99;265,68;29;59;360388;;;
440;664,19;265,68;29;59;361781;;;
441;664,19;272,32;29;59;363177;;;
442;680,80;272,32;29;59;364575;;;
443;680,80;279,13;29;59;365976;;;
444;697,82;279,13;29;59;367378;;;
445;697,82;286,11;29;59;368783;;;
446;715,26;286,11;29;59;370190;;;
447;715,26;293,26;29;59;371599;;;
448;733,15;293,26;29;59;373010;;;
449;733,15;300,59;29;59;374423;;;
450;751,48;300,59;29;59;375839;;;
451;751,48;308,10;29;59;377257;;;
452;770,26;308,10;29;59;378677;;;
453;770,26;315,81;29;59;380099;;;
454;789,52;315,81;29;59;381523;;;
455;789,52;323,70;29;59;382950;;;
456;809,26;323,70;29;59;384379;;;
457;809,26;331,80;29;59;385810;;;
458;829,49;331,80;29;59;387243;;;
459;829,49;340,09;29;59;388678;;;
460;829,49;340,09;29;58;390115;;;
461;850,23;340,09;29;58;391555;;;
462;850,23;348,59;29;58;392997;;;
463;871,48;348,59;29;58;394440;;;
464;871,48;357,31;29;58;395887;;;
465;893,27;357,31;29;58;397335;;;
466;893,27;366,24;29;58;398785;;;
467;915,60;366,24;29;58;400238;;;
468;915,60;375,40;29;58;401693;;;
469;938,49;375,40;29;58;403149;;;
470;938,49;384,78;29;58;404608;;;
471;961,95;384,78;29;58;406070;;;
472;961,95;394,40;29;58;407533;;;
473;986,00;394,40;29;58;408999;;;
474;986,00;404,26;29;58;410466;;;
475;1010,65;404,26;29;58;411936;;;
476;1010,65;414,37;29;58;413408;;;
477;1035,92;414,37;29;58;414882;;;
478;1035,92;424,73;29;58;416358;;;
479;1061,81;424,73;29;58;417837;;;
480;1061,81;435,34;29;58;419317;;;
481;1088,36;435,34;29;58;420800;;;
482;1088,36;446,23;29;58;422285;;;
483;1115,57;446,23;29;58;423772;;;
484;1115,57;457,38;29;58;425261;;;
485;1115,57;457,38;30;58;426752;;;
486;1143,46;457,38;30;58;428246;;;
487;1143,46;468,82;30;58;429741;;;
488;1172,04;468,82;30;58;431239;;;
489;1172,04;480,54;30;58;432738;;;
490;1201,35;480,54;30;58;434240;;;
491;1201,35;492,55;30;58;435744;;;
492;1231,38;492,55;30;58;437251;;;
493;1231,38;504,87;30;58;438759;;;
494;1262,16;504,87;30;58;440269;;;
495;1262,16;517,49;30;58;441782;;;
496;1293,72;517,49;30;58;443296;;;
497;1293,72;530,42;30;58;444813;;;
498;1326,06;530,42;30;58;446332;;;
499;1326,06;543,69;30;58;447853;;;
500;1359,21;543,69;30;58;449376;;;
501;1359,21;557,28;30;58;450902;;;
502;1393,19;557,28;30;58;452429;;;
503;1393,19;571,21;30;58;453958;;;
504;1428,02;571,21;30;58;455490;;;
505;1428,02;585,49;30;58;457024;;;
506;1463,72;585,49;30;58;458559;;;
507;1463,72;600,13;30;58;460097;;;
508;1500,32;600,13;30;58;461637;;;
509;1500,32;615,13;30;58;463179;;;
510;1500,32;615,13;30;57;464724;;;
511;1537,82;615,13;30;57;466270;;;
512;1537,82;630,51;30;57;467818;;;
513;1576,27;630,51;30;57;469369;;;
514;1576,27;646,27;30;57;470922;;;
515;1615,68;646,27;30;57;472476;;;
516;1615,68;662,43;30;57;474033;;;
517;1656,07;662,43;30;57;475592;;;
518;1656,07;678,99;30;57;477153;;;
519;1697,47;678,99;30;57;478716;;;
520;1697,47;695,96;30;57;480281;;;
521;1739,91;695,96;30;57;481849;;;
522;1739,91;713,36;30;57;483418;;;
523;1783,40;713,36;30;57;484989;;;
524;1783,40;731,20;30;57;486563;;;
525;1827,99;731,20;30;57;488139;;;
526;1827,99;749,48;30;57;489716;;;
527;1873,69;749,48;30;57;491296;;;
528;1873,69;768,21;30;57;492878;;;
529;1920,53;768,21;30;57;494462;;;
530;1920,53;787,42;30;57;496048;;;
531;1968,55;787,42;30;57;497636;;;
532;1968,55;807,10;30;57;499226;;;
533;2017,76;807,10;30;57;500819;;;
534;2017,76;827,28;30;57;502413;;;
535;2017,76;827,28;31;57;504009;;;
536;2068,20;827,28;31;57;505608;;;
537;2068,20;847,96;31;57;507208;;;
538;2119,91;847,96;31;57;508811;;;
539;2119,91;869,16;31;57;510416;;;
540;2172,91;869,16;31;57;512022;;;
541;2172,91;890,89;31;57;513631;;;
542;2227,23;890,89;31;57;515242;;;
543;2227,23;913,16;31;57;516855;;;
544;2282,91;913,16;31;57;518470;;;
545;2282,91;935,99;31;57;520087;;;
546;2339,98;935,99;31;57;521706;;;
547;2339,98;959,39;31;57;523327;;;
548;2398,48;959,39;31;57;524951;;;
549;2398,48;983,38;31;57;526576;;;
550;2458,44;983,38;31;57;528203;;;
551;2458,44;1007,96;31;57;529833;;;
552;2519,90;1007,96;31;57;531464;;;
553;2519,90;1033,16;31;57;533098;;;
554;2582,90;1033,16;31;57;534733;;;
555;2582,90;1058,99;31;57;536371;;;
556;2647,47;1058,99;31;57;538011;;;
557;2647,47;1085,46;31;57;539652;;;
558;2713,66;1085,46;31;57;541296;;;
559;2713,66;1112,60;31;57;542942;;;
560;2713,66;1112,60;31;56;544590;;;
