Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;;;;;;;;
124;48,44;15;49;41999;;;;;;;;;;
125;49,65;15;49;42579;;;;;;;;;;
126;50,89;15;49;43161;;;;;;;;;;
127;52,16;15;49;43747;;;;;;;;;;
128;53,46;15;49;44337;;;;;;;;;;
129;54,80;15;49;44929;;;;;;;;;;
130;54,80;16;49;45525;;;;;;;;;;
131;56,17;16;49;46124;;;;;;;;;;
132;57,58;16;49;46726;;;;;;;;;;
133;59,01;16;49;47331;;;;;;;;;;
134;60,49;16;49;47940;;;;;;;;;;
135;62,00;16;49;48551;;;;;;;;;;
136;63,55;16;49;49166;;;;;;;;;;
137;65,14;16;49;49784;;;;;;;;;;
138;66,77;16;49;50405;;;;;;;;;;
139;68,44;16;49;51029;;;;;;;;;;
140;68,44;16;48;51657;;;;;;;;;;
141;70,15;16;48;52287;;;;;;;;;;
142;71,90;16;48;52921;;;;;;;;;;
143;73,70;16;48;53558;;;;;;;;;;
144;75,54;16;48;54198;;;;;;;;;;
145;77,43;16;48;54841;;;;;;;;;;
146;79,37;16;48;55487;;;;;;;;;;
147;81,35;16;48;56136;;;;;;;;;;
148;83,39;16;48;56788;;;;;;;;;;
149;85,47;16;48;57444;;;;;;;;;;
150;85,47;17;48;58102;;;;;;;;;;
151;87,61;17;48;58764;;;;;;;;;;
152;89,80;17;48;59428;;;;;;;;;;
153;92,04;17;48;60096;;;;;;;;;;
154;94,34;17;48;60767;;;;;;;;;;
155;96,70;17;48;61440;;;;;;;;;;
156;99,12;17;48;62117;;;;;;;;;;
157;101,60;17;48;62797;;;;;;;;;;
158;104,14;17;48;63480;;;;;;;;;;
159;106,74;17;48;64166;;;;;;;;;;
160;106,74;17;48;64854;;;;;;;;;;
161;109,41;17;47;65546;;;;;;;;;;
162;112,15;17;47;66241;;;;;;;;;;
163;114,95;17;47;66939;;;;;;;;;;
164;117,82;17;47;67640;;;;;;;;;;
165;120,77;17;47;68344;;;;;;;;;;
166;123,79;17;47;69050;;;;;;;;;;
167;126,88;17;47;69760;;;;;;;;;;
168;130,05;17;47;70473;;;;;;;;;;
169;133,31;17;47;71189;;;;;;;;;;
170;133,31;18;47;71907;;;;;;;;;;
171;136,64;18;47;72629;;;;;;;;;;
172;140,05;18;47;73354;;;;;;;;;;
173;143,56;18;47;74081;;;;;;;;;;
174;147,14;18;47;74811;;;;;;;;;;
175;150,82;18;47;75545;;;;;;;;;;
176;154,59;18;47;76281;;;;;;;;;;
177;158,46;18;47;77020;;;;;;;;;;
178;162,42;18;47;77762;;;;;;;;;;
179;166,48;18;47;78507;;;;;;;;;;
180;166,48;18;46;79255;;;;;;;;;;
181;170,64;18;46;80006;;;;;;;;;;
182;174,91;18;46;80760;;;;;;;;;;
183;179,28;18;46;81517;;;;;;;;;;
184;183,76;18;46;82276;;;;;;;;;;
185;188,36;18;46;83038;;;;;;;;;;
186;193,07;18;46;83804;;;;;;;;;;
187;197,89;18;46;84572;;;;;;;;;;
188;202,84;18;46;85343;;;;;;;;;;
189;207,91;18;46;86117;;;;;;;;;;
190;207,91;19;46;86893;;;;;;;;;;
191;213,11;19;46;87673;;;;;;;;;;
192;218,44;19;46;88455;;;;;;;;;;
193;223,90;19;46;89241;;;;;;;;;;
194;229,50;19;46;90029;;;;;;;;;;
195;235,23;19;46;90820;;;;;;;;;;
196;241,11;19;46;91613;;;;;;;;;;
197;247,14;19;46;92410;;;;;;;;;;
198;253,32;19;46;93209;;;;;;;;;;
199;259,65;19;46;94011;;;;;;;;;;
200;259,65;19;45;94816;;;;;;;;;;
201;266,14;19;45;95624;;;;;;;;;;
202;272,80;19;45;96435;;;;;;;;;;
203;279,62;19;45;97248;;;;;;;;;;
204;286,61;19;45;98065;;;;;;;;;;
205;293,77;19;45;98884;;;;;;;;;;
206;301,12;19;45;99705;;;;;;;;;;
207;308,65;19;45;100530;;;;;;;;;;
208;316,36;19;45;101357;;;;;;;;;;
209;324,27;19;45;102187;;;;;;;;;;
210;332,38;19;45;103020;;;;;;;;;;
211;340,69;19;45;103856;;;;;;;;;;
212;349,20;19;45;104694;;;;;;;;;;
213;357,93;19;45;105535;;;;;;;;;;
214;366,88;19;45;106379;;;;;;;;;;
215;366,88;20;45;107226;;;;;;;;;;
216;376,05;20;45;108075;;;;;;;;;;
217;385,46;20;45;108928;;;;;;;;;;
218;395,09;20;45;109782;;;;;;;;;;
219;404,97;20;45;110640;;;;;;;;;;
220;415,09;20;45;111500;;;;;;;;;;
221;425,47;20;45;112364;;;;;;;;;;
222;436,11;20;45;113229;;;;;;;;;;
223;447,01;20;45;114098;;;;;;;;;;
224;458,19;20;45;114969;;;;;;;;;;
225;469,64;20;45;115843;;;;;;;;;;
226;481,38;20;45;116720;;;;;;;;;;
227;493,42;20;45;117599;;;;;;;;;;
228;505,75;20;45;118481;;;;;;;;;;
229;518,40;20;45;119366;;;;;;;;;;
230;518,40;20;44;120253;;;;;;;;;;
231;531,36;20;44;121143;;;;;;;;;;
232;544,64;20;44;122036;;;;;;;;;;
233;558,26;20;44;122932;;;;;;;;;;
234;572,21;20;44;123830;;;;;;;;;;
235;586,52;20;44;124731;;;;;;;;;;
236;601,18;20;44;125634;;;;;;;;;;
237;616,21;20;44;126540;;;;;;;;;;
238;631,61;20;44;127449;;;;;;;;;;
239;647,41;20;44;128361;;;;;;;;;;
240;663,59;20;44;129275;;;;;;;;;;
241;680,18;20;44;130191;;;;;;;;;;
242;697,18;20;44;131111;;;;;;;;;;
243;714,61;20;44;132033;;;;;;;;;;
244;732,48;20;44;132958;;;;;;;;;;
245;732,48;21;44;133885;;;;;;;;;;
246;750,79;21;44;134815;;;;;;;;;;
247;769,56;21;44;135748;;;;;;;;;;
248;788,80;21;44;136683;;;;;;;;;;
249;808,52;21;44;137621;;;;;;;;;;
250;828,73;21;44;138561;;;;;;;;;;
251;849,45;21;44;139505;;;;;;;;;;
252;870,69;21;44;140450;;;;;;;;;;
253;892,46;21;44;141399;;;;;;;;;;
254;914,77;21;44;142350;;;;;;;;;;
255;937,64;21;44;143303;;;;;;;;;;
256;961,08;21;44;144259;;;;;;;;;;
257;985,10;21;44;145218;;;;;;;;;;
258;1009,73;21;44;146180;;;;;;;;;;
259;1034,97;21;44;147144;;;;;;;;;;
260;1034,97;21;43;148110;;;;;;;;;;
261;1060,85;21;43;149079;;;;;;;;;;
262;1087,37;21;43;150051;;;;;;;;;;
263;1114,55;21;43;151025;;;;;;;;;;
264;1142,42;21;43;152002;;;;;;;;;;
265;1170,98;21;43;152982;;;;;;;;;;
266;1200,25;21;43;153964;;;;;;;;;;
267;1230,26;21;43;154948;;;;;;;;;;
268;1261,02;21;43;155936;;;;;;;;;;
269;1292,54;21;43;156925;;;;;;;;;;
270;1324,86;21;43;157918;;;;;;;;;;
271;1357,98;21;43;158913;;;;;;;;;;
272;1391,93;21;43;159910;;;;;;;;;;
273;1426,72;21;43;160910;;;;;;;;;;
274;1462,39;21;43;161912;;;;;;;;;;
275;1462,39;22;43;162918;;;;;;;;;;
276;1498,95;22;43;163925;;;;;;;;;;
277;1536,43;22;43;164935;;;;;;;;;;
278;1574,84;22;43;165948;;;;;;;;;;
279;1614,21;22;43;166963;;;;;;;;;;
280;1654,56;22;43;167981;;;;;;;;;;
281;1695,93;22;43;169001;;;;;;;;;;
282;1738,32;22;43;170024;;;;;;;;;;
283;1781,78;22;43;171049;;;;;;;;;;
284;1826,33;22;43;172077;;;;;;;;;;
285;1871,99;22;43;173108;;;;;;;;;;
286;1918,79;22;43;174141;;;;;;;;;;
287;1966,75;22;43;175176;;;;;;;;;;
288;2015,92;22;43;176214;;;;;;;;;;
289;2066,32;22;43;177254;;;;;;;;;;
290;2066,32;22;42;178297;;;;;;;;;;
291;2117,98;22;42;179343;;;;;;;;;;
292;2170,93;22;42;180391;;;;;;;;;;
293;2225,20;22;42;181441;;;;;;;;;;
294;2280,83;22;42;182494;;;;;;;;;;
295;2337,85;22;42;183549;;;;;;;;;;
296;2396,30;22;42;184607;;;;;;;;;;
297;2456,21;22;42;185668;;;;;;;;;;
298;2517,61;22;42;186730;;;;;;;;;;
299;2580,55;22;42;187796;;;;;;;;;;
300;2645,07;22;42;188864;;;;;;;;;;
301;2711,19;22;42;189934;;;;;;;;;;
302;2778,97;22;42;191007;;;;;;;;;;
303;2848,45;22;42;192082;;;;;;;;;;
304;2919,66;22;42;193160;;;;;;;;;;
305;2919,66;23;42;194240;;;;;;;;;;
306;2992,65;23;42;195323;;;;;;;;;;
307;3067,47;23;42;196408;;;;;;;;;;
308;3144,15;23;42;197495;;;;;;;;;;
309;3222,76;23;42;198585;;;;;;;;;;
310;3303,33;23;42;199678;;;;;;;;;;
311;3385,91;23;42;200773;;;;;;;;;;
312;3470,56;23;42;201870;;;;;;;;;;
313;3557,32;23;42;202970;;;;;;;;;;
314;3646,25;23;42;204072;;;;;;;;;;
315;3737,41;23;42;205177;;;;;;;;;;
316;3830,84;23;42;206284;;;;;;;;;;
317;3926,62;23;42;207394;;;;;;;;;;
318;4024,78;23;42;208506;;;;;;;;;;
319;4125,40;23;42;209620;;;;;;;;;;
320;4125,40;23;41;210737;;;;;;;;;;
321;4228,54;23;41;211856;;;;;;;;;;
322;4334,25;23;41;212978;;;;;;;;;;
323;4442,61;23;41;214102;;;;;;;;;;
324;4553,67;23;41;215229;;;;;;;;;;
325;4667,51;23;41;216358;;;;;;;;;;
326;4784,20;23;41;217489;;;;;;;;;;
327;4903,81;23;41;218623;;;;;;;;;;
328;5026,40;23;41;219759;;;;;;;;;;
329;5152,06;23;41;220898;;;;;;;;;;
330;5280,86;23;41;222039;;;;;;;;;;
331;5412,88;23;41;223182;;;;;;;;;;
332;5548,21;23;41;224328;;;;;;;;;;
333;5686,91;23;41;225476;;;;;;;;;;
334;5829,08;23;41;226627;;;;;;;;;;
335;5829,08;24;41;227780;;;;;;;;;;
336;5974,81;24;41;228936;;;;;;;;;;
337;6124,18;24;41;230093;;;;;;;;;;
338;6277,29;24;41;231254;;;;;;;;;;
339;6434,22;24;41;232416;;;;;;;;;;
340;6595,07;24;41;233581;;;;;;;;;;
341;6759,95;24;41;234749;;;;;;;;;;
342;6928,95;24;41;235918;;;;;;;;;;
343;7102,17;24;41;237090;;;;;;;;;;
344;7279,73;24;41;238265;;;;;;;;;;
345;7461,72;24;41;239442;;;;;;;;;;
346;7648,26;24;41;240621;;;;;;;;;;
347;7839,47;24;41;241803;;;;;;;;;;
348;8035,46;24;41;242987;;;;;;;;;;
349;8236,34;24;41;244173;;;;;;;;;;
350;8442,25;24;41;245362;;;;;;;;;;
351;8653,31;24;41;246553;;;;;;;;;;
352;8869,64;24;41;247746;;;;;;;;;;
353;9091,38;24;41;248942;;;;;;;;;;
354;9318,67;24;41;250140;;;;;;;;;;
355;9551,63;24;41;251341;;;;;;;;;;
356;9790,42;24;41;252544;;;;;;;;;;
357;10035,18;24;41;253749;;;;;;;;;;
358;10286,06;24;41;254956;;;;;;;;;;
359;10543,21;24;41;256166;;;;;;;;;;
360;10543,21;24;40;257379;;;;;;;;;;
361;10806,80;24;40;258593;;;;;;;;;;
362;11076,96;24;40;259810;;;;;;;;;;
363;11353,89;24;40;261029;;;;;;;;;;
364;11637,74;24;40;262251;;;;;;;;;;
365;11928,68;24;40;263475;;;;;;;;;;
366;12226,90;24;40;264701;;;;;;;;;;
367;12532,57;24;40;265930;;;;;;;;;;
368;12845,88;24;40;267161;;;;;;;;;;
369;13167,03;24;40;268394;;;;;;;;;;
370;13496,21;24;40;269629;;;;;;;;;;
371;13833,61;24;40;270867;;;;;;;;;;
372;14179,45;24;40;272107;;;;;;;;;;
373;14533,94;24;40;273350;;;;;;;;;;
374;14897,29;24;40;274595;;;;;;;;;;
375;15269,72;24;40;275842;;;;;;;;;;
376;15651,46;24;40;277091;;;;;;;;;;
377;16042,75;24;40;278343;;;;;;;;;;
378;16443,82;24;40;279597;;;;;;;;;;
379;16854,91;24;40;280853;;;;;;;;;;
380;17276,28;24;40;282112;;;;;;;;;;
381;17708,19;24;40;283373;;;;;;;;;;
382;18150,90;24;40;284636;;;;;;;;;;
383;18604,67;24;40;285902;;;;;;;;;;
384;19069,79;24;40;287170;;;;;;;;;;
385;19069,79;25;40;288440;;;;;;;;;;
386;19546,53;25;40;289713;;;;;;;;;;
387;20035,19;25;40;290987;;;;;;;;;;
388;20536,07;25;40;292264;;;;;;;;;;
389;21049,48;25;40;293544;;;;;;;;;;
390;21575,71;25;40;294825;;;;;;;;;;
391;22115,11;25;40;296109;;;;;;;;;;
392;22667,98;25;40;297395;;;;;;;;;;
393;23234,68;25;40;298684;;;;;;;;;;
394;23815,55;25;40;299975;;;;;;;;;;
395;24410,94;25;40;301268;;;;;;;;;;
396;25021,21;25;40;302563;;;;;;;;;;
397;25646,74;25;40;303860;;;;;;;;;;
398;26287,91;25;40;305160;;;;;;;;;;
399;26945,11;25;40;306462;;;;;;;;;;
400;27618,74;25;40;307767;;;;;;;;;;
401;28309,20;25;40;309073;;;;;;;;;;
402;29016,93;25;40;310382;;;;;;;;;;
403;29742,36;25;40;311693;;;;;;;;;;
404;30485,92;25;40;313007;;;;;;;;;;
405;31248,06;25;40;314322;;;;;;;;;;
406;32029,27;25;40;315640;;;;;;;;;;
407;32830,00;25;40;316961;;;;;;;;;;
408;33650,75;25;40;318283;;;;;;;;;;
409;34492,02;25;40;319608;;;;;;;;;;
410;34492,02;25;39;320935;;;;;;;;;;
411;35354,32;25;39;322264;;;;;;;;;;
412;36238,18;25;39;323595;;;;;;;;;;
413;37144,13;25;39;324929;;;;;;;;;;
414;38072,73;25;39;326265;;;;;;;;;;
415;39024,55;25;39;327603;;;;;;;;;;
416;40000,16;25;39;328944;;;;;;;;;;
417;41000,17;25;39;330286;;;;;;;;;;
418;42025,17;25;39;331631;;;;;;;;;;
419;43075,80;25;39;332978;;;;;;;;;;
420;44152,70;25;39;334328;;;;;;;;;;
421;45256,52;25;39;335679;;;;;;;;;;
422;46387,93;25;39;337033;;;;;;;;;;
423;47547,63;25;39;338389;;;;;;;;;;
424;48736,32;25;39;339747;;;;;;;;;;
425;49954,72;25;39;341108;;;;;;;;;;
426;51203,59;25;39;342471;;;;;;;;;;
427;52483,68;25;39;343835;;;;;;;;;;
428;53795,77;25;39;345203;;;;;;;;;;
429;55140,67;25;39;346572;;;;;;;;;;
430;56519,19;25;39;347944;;;;;;;;;;
431;57932,17;25;39;349317;;;;;;;;;;
432;59380,47;25;39;350694;;;;;;;;;;
433;60864,98;25;39;352072;;;;;;;;;;
434;62386,61;25;39;353452;;;;;;;;;;
435;62386,61;26;39;354835;;;;;;;;;;
436;63946,27;26;39;356220;;;;;;;;;;
437;65544,93;26;39;357607;;;;;;;;;;
438;67183,55;26;39;358996;;;;;;;;;;
439;68863,14;26;39;360388;;;;;;;;;;
440;70584,72;26;39;361781;;;;;;;;;;
441;72349,34;26;39;363177;;;;;;;;;;
442;74158,07;26;39;364575;;;;;;;;;;
443;76012,02;26;39;365976;;;;;;;;;;
444;77912,32;26;39;367378;;;;;;;;;;
445;79860,13;26;39;368783;;;;;;;;;;
446;81856,63;26;39;370190;;;;;;;;;;
447;83903,05;26;39;371599;;;;;;;;;;
448;86000,63;26;39;373010;;;;;;;;;;
449;88150,64;26;39;374423;;;;;;;;;;
450;90354,41;26;39;375839;;;;;;;;;;
451;92613,27;26;39;377257;;;;;;;;;;
452;94928,60;26;39;378677;;;;;;;;;;
453;97301,81;26;39;380099;;;;;;;;;;
454;99734,36;26;39;381523;;;;;;;;;;
455;102227,72;26;39;382950;;;;;;;;;;
456;104783,41;26;39;384379;;;;;;;;;;
457;107403,00;26;39;385810;;;;;;;;;;
458;110088,07;26;39;387243;;;;;;;;;;
459;112840,27;26;39;388678;;;;;;;;;;
460;112840,27;26;38;390115;;;;;;;;;;
461;115661,28;26;38;391555;;;;;;;;;;
462;118552,81;26;38;392997;;;;;;;;;;
463;121516,63;26;38;394440;;;;;;;;;;
464;124554,55;26;38;395887;;;;;;;;;;
465;127668,41;26;38;397335;;;;;;;;;;
466;130860,12;26;38;398785;;;;;;;;;;
467;134131,63;26;38;400238;;;;;;;;;;
468;137484,92;26;38;401693;;;;;;;;;;
469;140922,04;26;38;403149;;;;;;;;;;
470;144445,09;26;38;404608;;;;;;;;;;
471;148056,22;26;38;406070;;;;;;;;;;
472;151757,62;26;38;407533;;;;;;;;;;
473;155551,56;26;38;408999;;;;;;;;;;
474;159440,35;26;38;410466;;;;;;;;;;
475;163426,36;26;38;411936;;;;;;;;;;
476;167512,02;26;38;413408;;;;;;;;;;
477;171699,82;26;38;414882;;;;;;;;;;
478;175992,32;26;38;416358;;;;;;;;;;
479;180392,12;26;38;417837;;;;;;;;;;
480;184901,93;26;38;419317;;;;;;;;;;
481;189524,47;26;38;420800;;;;;;;;;;
482;194262,59;26;38;422285;;;;;;;;;;
483;199119,15;26;38;423772;;;;;;;;;;
484;204097,13;26;38;425261;;;;;;;;;;
485;204097,13;27;38;426752;;;;;;;;;;
486;209199,56;27;38;428246;;;;;;;;;;
487;214429,55;27;38;429741;;;;;;;;;;
488;219790,29;27;38;431239;;;;;;;;;;
489;225285,04;27;38;432738;;;;;;;;;;
490;230917,17;27;38;434240;;;;;;;;;;
491;236690,10;27;38;435744;;;;;;;;;;
492;242607,35;27;38;437251;;;;;;;;;;
493;248672,53;27;38;438759;;;;;;;;;;
494;254889,35;27;38;440269;;;;;;;;;;
495;261261,58;27;38;441782;;;;;;;;;;
496;267793,12;27;38;443296;;;;;;;;;;
497;274487,95;27;38;444813;;;;;;;;;;
498;281350,15;27;38;446332;;;;;;;;;;
499;288383,90;27;38;447853;;;;;;;;;;
500;295593,50;27;38;449376;;;;;;;;;;
501;302983,34;27;38;450902;;;;;;;;;;
502;310557,92;27;38;452429;;;;;;;;;;
503;318321,87;27;38;453958;;;;;;;;;;
504;326279,92;27;38;455490;;;;;;;;;;
505;334436,91;27;38;457024;;;;;;;;;;
506;342797,84;27;38;458559;;;;;;;;;;
507;351367,78;27;38;460097;;;;;;;;;;
508;360151,98;27;38;461637;;;;;;;;;;
509;369155,78;27;38;463179;;;;;;;;;;
510;369155,78;27;37;464724;;;;;;;;;;
511;378384,67;27;37;466270;;;;;;;;;;
512;387844,29;27;37;467818;;;;;;;;;;
513;397540,39;27;37;469369;;;;;;;;;;
514;407478,90;27;37;470922;;;;;;;;;;
515;417665,88;27;37;472476;;;;;;;;;;
516;428107,52;27;37;474033;;;;;;;;;;
517;438810,21;27;37;475592;;;;;;;;;;
518;449780,47;27;37;477153;;;;;;;;;;
519;461024,98;27;37;478716;;;;;;;;;;
520;472550,60;27;37;480281;;;;;;;;;;
521;484364,37;27;37;481849;;;;;;;;;;
522;496473,48;27;37;483418;;;;;;;;;;
523;508885,31;27;37;484989;;;;;;;;;;
524;521607,45;27;37;486563;;;;;;;;;;
525;534647,63;27;37;488139;;;;;;;;;;
526;548013,82;27;37;489716;;;;;;;;;;
527;561714,17;27;37;491296;;;;;;;;;;
528;575757,02;27;37;492878;;;;;;;;;;
529;590150,95;27;37;494462;;;;;;;;;;
530;604904,72;27;37;496048;;;;;;;;;;
531;620027,34;27;37;497636;;;;;;;;;;
532;635528,02;27;37;499226;;;;;;;;;;
533;651416,23;27;37;500819;;;;;;;;;;
534;667701,63;27;37;502413;;;;;;;;;;
535;667701,63;28;37;504009;;;;;;;;;;
536;684394,17;28;37;505608;;;;;;;;;;
537;701504,03;28;37;507208;;;;;;;;;;
538;719041,63;28;37;508811;;;;;;;;;;
539;737017,67;28;37;510416;;;;;;;;;;
540;755443,11;28;37;512022;;;;;;;;;;
541;774329,19;28;37;513631;;;;;;;;;;
542;793687,42;28;37;515242;;;;;;;;;;
543;813529,60;28;37;516855;;;;;;;;;;
544;833867,84;28;37;518470;;;;;;;;;;
545;854714,54;28;37;520087;;;;;;;;;;
546;876082,40;28;37;521706;;;;;;;;;;
547;897984,46;28;37;523327;;;;;;;;;;
548;920434,07;28;37;524951;;;;;;;;;;
549;943444,92;28;37;526576;;;;;;;;;;
550;967031,05;28;37;528203;;;;;;;;;;
551;991206,82;28;37;529833;;;;;;;;;;
552;1015986,99;28;37;531464;;;;;;;;;;
553;1041386,67;28;37;533098;;;;;;;;;;
554;1067421,34;28;37;534733;;;;;;;;;;
555;1094106,87;28;37;536371;;;;;;;;;;
556;1121459,54;28;37;538011;;;;;;;;;;
557;1149496,03;28;37;539652;;;;;;;;;;
558;1178233,43;28;37;541296;;;;;;;;;;
559;1207689,27;28;37;542942;;;;;;;;;;
560;1207689,27;28;36;544590;;;;;;;;;;
