Niveau;Damage;Effectif;Coût;Prix de l'upgrade;;;;;;;;;;
98;34,31;14;46;28099;;;;;;;;;;
99;35,17;14;46;28591;;;;;;;;;;
100;35,17;14;45;29086;;;;;;;;;;
101;36,05;14;45;29585;;;;;;;;;;
102;36,95;14;45;30088;;;;;;;;;;
103;37,87;14;45;30594;;;;;;;;;;
104;38,82;14;45;31103;;;;;;;;;;
105;39,79;14;45;31616;;;;;;;;;;
106;40,78;14;45;32132;;;;;;;;;;
107;41,80;14;45;32652;;;;;;;;;;
108;42,85;14;45;33175;;;;;;;;;;
109;43,92;14;45;33701;;;;;;;;;;
110;43,92;15;45;34231;;;;;;;;;;
111;45,02;15;45;34764;;;;;;;;;;
112;46,14;15;45;35301;;;;;;;;;;
113;47,30;15;45;35841;;;;;;;;;;
114;48,48;15;45;36384;;;;;;;;;;
115;49,69;15;45;36931;;;;;;;;;;
116;50,93;15;45;37481;;;;;;;;;;
117;52,21;15;45;38034;;;;;;;;;;
118;53,51;15;45;38590;;;;;;;;;;
119;54,85;15;45;39150;;;;;;;;;;
120;54,85;15;44;39714;;;;;;;;;;
121;56,22;15;44;40280;;;;;;;;;;
122;57,63;15;44;40850;;;;;;;;;;
123;59,07;15;44;41423;;;;;;;;;;
124;60,55;15;44;41999;;;;;;;;;;
125;62,06;15;44;42579;;;;;;;;;;
126;63,61;15;44;43161;;;;;;;;;;
127;65,20;15;44;43747;;;;;;;;;;
128;66,83;15;44;44337;;;;;;;;;;
129;68,50;15;44;44929;;;;;;;;;;
130;68,50;16;44;45525;;;;;;;;;;
131;70,21;16;44;46124;;;;;;;;;;
132;71,97;16;44;46726;;;;;;;;;;
133;73,77;16;44;47331;;;;;;;;;;
134;75,61;16;44;47940;;;;;;;;;;
135;77,50;16;44;48551;;;;;;;;;;
136;79,44;16;44;49166;;;;;;;;;;
137;81,43;16;44;49784;;;;;;;;;;
138;83,46;16;44;50405;;;;;;;;;;
139;85,55;16;44;51029;;;;;;;;;;
140;85,55;16;43;51657;;;;;;;;;;
141;87,69;16;43;52287;;;;;;;;;;
142;89,88;16;43;52921;;;;;;;;;;
143;92,13;16;43;53558;;;;;;;;;;
144;94,43;16;43;54198;;;;;;;;;;
145;96,79;16;43;54841;;;;;;;;;;
146;99,21;16;43;55487;;;;;;;;;;
147;101,69;16;43;56136;;;;;;;;;;
148;104,23;16;43;56788;;;;;;;;;;
149;106,84;16;43;57444;;;;;;;;;;
150;106,84;17;43;58102;;;;;;;;;;
151;109,51;17;43;58764;;;;;;;;;;
152;112,25;17;43;59428;;;;;;;;;;
153;115,05;17;43;60096;;;;;;;;;;
154;117,93;17;43;60767;;;;;;;;;;
155;120,88;17;43;61440;;;;;;;;;;
156;123,90;17;43;62117;;;;;;;;;;
157;127,00;17;43;62797;;;;;;;;;;
158;130,17;17;43;63480;;;;;;;;;;
159;133,43;17;43;64166;;;;;;;;;;
160;133,43;17;43;64854;;;;;;;;;;
161;136,76;17;42;65546;;;;;;;;;;
162;140,18;17;42;66241;;;;;;;;;;
163;143,69;17;42;66939;;;;;;;;;;
164;147,28;17;42;67640;;;;;;;;;;
165;150,96;17;42;68344;;;;;;;;;;
166;154,73;17;42;69050;;;;;;;;;;
167;158,60;17;42;69760;;;;;;;;;;
168;162,57;17;42;70473;;;;;;;;;;
169;166,63;17;42;71189;;;;;;;;;;
170;166,63;18;42;71907;;;;;;;;;;
171;170,80;18;42;72629;;;;;;;;;;
172;175,07;18;42;73354;;;;;;;;;;
173;179,44;18;42;74081;;;;;;;;;;
174;183,93;18;42;74811;;;;;;;;;;
175;188,53;18;42;75545;;;;;;;;;;
176;193,24;18;42;76281;;;;;;;;;;
177;198,07;18;42;77020;;;;;;;;;;
178;203,03;18;42;77762;;;;;;;;;;
179;208,10;18;42;78507;;;;;;;;;;
180;208,10;18;41;79255;;;;;;;;;;
181;213,30;18;41;80006;;;;;;;;;;
182;218,64;18;41;80760;;;;;;;;;;
183;224,10;18;41;81517;;;;;;;;;;
184;229,70;18;41;82276;;;;;;;;;;
185;235,45;18;41;83038;;;;;;;;;;
186;241,33;18;41;83804;;;;;;;;;;
187;247,37;18;41;84572;;;;;;;;;;
188;253,55;18;41;85343;;;;;;;;;;
189;259,89;18;41;86117;;;;;;;;;;
190;259,89;19;41;86893;;;;;;;;;;
191;266,39;19;41;87673;;;;;;;;;;
192;273,05;19;41;88455;;;;;;;;;;
193;279,87;19;41;89241;;;;;;;;;;
194;286,87;19;41;90029;;;;;;;;;;
195;294,04;19;41;90820;;;;;;;;;;
196;301,39;19;41;91613;;;;;;;;;;
197;308,93;19;41;92410;;;;;;;;;;
198;316,65;19;41;93209;;;;;;;;;;
199;324,57;19;41;94011;;;;;;;;;;
200;324,57;19;40;94816;;;;;;;;;;
201;332,68;19;40;95624;;;;;;;;;;
202;341,00;19;40;96435;;;;;;;;;;
203;349,52;19;40;97248;;;;;;;;;;
204;358,26;19;40;98065;;;;;;;;;;
205;367,22;19;40;98884;;;;;;;;;;
206;376,40;19;40;99705;;;;;;;;;;
207;385,81;19;40;100530;;;;;;;;;;
208;395,45;19;40;101357;;;;;;;;;;
209;405,34;19;40;102187;;;;;;;;;;
210;415,47;19;40;103020;;;;;;;;;;
211;425,86;19;40;103856;;;;;;;;;;
212;436,51;19;40;104694;;;;;;;;;;
213;447,42;19;40;105535;;;;;;;;;;
214;458,60;19;40;106379;;;;;;;;;;
215;458,60;20;40;107226;;;;;;;;;;
216;470,07;20;40;108075;;;;;;;;;;
217;481,82;20;40;108928;;;;;;;;;;
218;493,87;20;40;109782;;;;;;;;;;
219;506,21;20;40;110640;;;;;;;;;;
220;518,87;20;40;111500;;;;;;;;;;
221;531,84;20;40;112364;;;;;;;;;;
222;545,14;20;40;113229;;;;;;;;;;
223;558,76;20;40;114098;;;;;;;;;;
224;572,73;20;40;114969;;;;;;;;;;
225;587,05;20;40;115843;;;;;;;;;;
226;601,73;20;40;116720;;;;;;;;;;
227;616,77;20;40;117599;;;;;;;;;;
228;632,19;20;40;118481;;;;;;;;;;
229;647,99;20;40;119366;;;;;;;;;;
230;647,99;20;39;120253;;;;;;;;;;
231;664,19;20;39;121143;;;;;;;;;;
232;680,80;20;39;122036;;;;;;;;;;
233;697,82;20;39;122932;;;;;;;;;;
234;715,26;20;39;123830;;;;;;;;;;
235;733,15;20;39;124731;;;;;;;;;;
236;751,48;20;39;125634;;;;;;;;;;
237;770,26;20;39;126540;;;;;;;;;;
238;789,52;20;39;127449;;;;;;;;;;
239;809,26;20;39;128361;;;;;;;;;;
240;829,49;20;39;129275;;;;;;;;;;
241;850,23;20;39;130191;;;;;;;;;;
242;871,48;20;39;131111;;;;;;;;;;
243;893,27;20;39;132033;;;;;;;;;;
244;915,60;20;39;132958;;;;;;;;;;
245;915,60;21;39;133885;;;;;;;;;;
246;938,49;21;39;134815;;;;;;;;;;
247;961,95;21;39;135748;;;;;;;;;;
248;986,00;21;39;136683;;;;;;;;;;
249;1010,65;21;39;137621;;;;;;;;;;
250;1035,92;21;39;138561;;;;;;;;;;
251;1061,81;21;39;139505;;;;;;;;;;
252;1088,36;21;39;140450;;;;;;;;;;
253;1115,57;21;39;141399;;;;;;;;;;
254;1143,46;21;39;142350;;;;;;;;;;
255;1172,04;21;39;143303;;;;;;;;;;
256;1201,35;21;39;144259;;;;;;;;;;
257;1231,38;21;39;145218;;;;;;;;;;
258;1262,16;21;39;146180;;;;;;;;;;
259;1293,72;21;39;147144;;;;;;;;;;
260;1293,72;21;38;148110;;;;;;;;;;
261;1326,06;21;38;149079;;;;;;;;;;
262;1359,21;21;38;150051;;;;;;;;;;
263;1393,19;21;38;151025;;;;;;;;;;
264;1428,02;21;38;152002;;;;;;;;;;
265;1463,72;21;38;152982;;;;;;;;;;
266;1500,32;21;38;153964;;;;;;;;;;
267;1537,82;21;38;154948;;;;;;;;;;
268;1576,27;21;38;155936;;;;;;;;;;
269;1615,68;21;38;156925;;;;;;;;;;
270;1656,07;21;38;157918;;;;;;;;;;
271;1697,47;21;38;158913;;;;;;;;;;
272;1739,91;21;38;159910;;;;;;;;;;
273;1783,40;21;38;160910;;;;;;;;;;
274;1827,99;21;38;161912;;;;;;;;;;
275;1827,99;22;38;162918;;;;;;;;;;
276;1873,69;22;38;163925;;;;;;;;;;
277;1920,53;22;38;164935;;;;;;;;;;
278;1968,55;22;38;165948;;;;;;;;;;
279;2017,76;22;38;166963;;;;;;;;;;
280;2068,20;22;38;167981;;;;;;;;;;
281;2119,91;22;38;169001;;;;;;;;;;
282;2172,91;22;38;170024;;;;;;;;;;
283;2227,23;22;38;171049;;;;;;;;;;
284;2282,91;22;38;172077;;;;;;;;;;
285;2339,98;22;38;173108;;;;;;;;;;
286;2398,48;22;38;174141;;;;;;;;;;
287;2458,44;22;38;175176;;;;;;;;;;
288;2519,90;22;38;176214;;;;;;;;;;
289;2582,90;22;38;177254;;;;;;;;;;
290;2582,90;22;37;178297;;;;;;;;;;
291;2647,47;22;37;179343;;;;;;;;;;
292;2713,66;22;37;180391;;;;;;;;;;
293;2781,50;22;37;181441;;;;;;;;;;
294;2851,04;22;37;182494;;;;;;;;;;
295;2922,32;22;37;183549;;;;;;;;;;
296;2995,37;22;37;184607;;;;;;;;;;
297;3070,26;22;37;185668;;;;;;;;;;
298;3147,02;22;37;186730;;;;;;;;;;
299;3225,69;22;37;187796;;;;;;;;;;
300;3306,33;22;37;188864;;;;;;;;;;
301;3388,99;22;37;189934;;;;;;;;;;
302;3473,72;22;37;191007;;;;;;;;;;
303;3560,56;22;37;192082;;;;;;;;;;
304;3649,57;22;37;193160;;;;;;;;;;
305;3649,57;23;37;194240;;;;;;;;;;
306;3740,81;23;37;195323;;;;;;;;;;
307;3834,33;23;37;196408;;;;;;;;;;
308;3930,19;23;37;197495;;;;;;;;;;
309;4028,45;23;37;198585;;;;;;;;;;
310;4129,16;23;37;199678;;;;;;;;;;
311;4232,39;23;37;200773;;;;;;;;;;
312;4338,20;23;37;201870;;;;;;;;;;
313;4446,65;23;37;202970;;;;;;;;;;
314;4557,82;23;37;204072;;;;;;;;;;
315;4671,76;23;37;205177;;;;;;;;;;
316;4788,56;23;37;206284;;;;;;;;;;
317;4908,27;23;37;207394;;;;;;;;;;
318;5030,98;23;37;208506;;;;;;;;;;
319;5156,75;23;37;209620;;;;;;;;;;
320;5156,75;23;36;210737;;;;;;;;;;
321;5285,67;23;36;211856;;;;;;;;;;
322;5417,81;23;36;212978;;;;;;;;;;
323;5553,26;23;36;214102;;;;;;;;;;
324;5692,09;23;36;215229;;;;;;;;;;
325;5834,39;23;36;216358;;;;;;;;;;
326;5980,25;23;36;217489;;;;;;;;;;
327;6129,76;23;36;218623;;;;;;;;;;
328;6283,00;23;36;219759;;;;;;;;;;
329;6440,08;23;36;220898;;;;;;;;;;
330;6601,08;23;36;222039;;;;;;;;;;
331;6766,10;23;36;223182;;;;;;;;;;
332;6935,26;23;36;224328;;;;;;;;;;
333;7108,64;23;36;225476;;;;;;;;;;
334;7286,35;23;36;226627;;;;;;;;;;
335;7286,35;24;36;227780;;;;;;;;;;
336;7468,51;24;36;228936;;;;;;;;;;
337;7655,23;24;36;230093;;;;;;;;;;
338;7846,61;24;36;231254;;;;;;;;;;
339;8042,77;24;36;232416;;;;;;;;;;
340;8243,84;24;36;233581;;;;;;;;;;
341;8449,94;24;36;234749;;;;;;;;;;
342;8661,19;24;36;235918;;;;;;;;;;
343;8877,72;24;36;237090;;;;;;;;;;
344;9099,66;24;36;238265;;;;;;;;;;
345;9327,15;24;36;239442;;;;;;;;;;
346;9560,33;24;36;240621;;;;;;;;;;
347;9799,34;24;36;241803;;;;;;;;;;
348;10044,32;24;36;242987;;;;;;;;;;
349;10295,43;24;36;244173;;;;;;;;;;
350;10552,81;24;36;245362;;;;;;;;;;
351;10816,63;24;36;246553;;;;;;;;;;
352;11087,05;24;36;247746;;;;;;;;;;
353;11364,23;24;36;248942;;;;;;;;;;
354;11648,33;24;36;250140;;;;;;;;;;
355;11939,54;24;36;251341;;;;;;;;;;
356;12238,03;24;36;252544;;;;;;;;;;
357;12543,98;24;36;253749;;;;;;;;;;
358;12857,58;24;36;254956;;;;;;;;;;
359;13179,02;24;36;256166;;;;;;;;;;
360;13179,02;24;35;257379;;;;;;;;;;
361;13508,49;24;35;258593;;;;;;;;;;
362;13846,21;24;35;259810;;;;;;;;;;
363;14192,36;24;35;261029;;;;;;;;;;
364;14547,17;24;35;262251;;;;;;;;;;
365;14910,85;24;35;263475;;;;;;;;;;
366;15283,62;24;35;264701;;;;;;;;;;
367;15665,71;24;35;265930;;;;;;;;;;
368;16057,35;24;35;267161;;;;;;;;;;
369;16458,79;24;35;268394;;;;;;;;;;
370;16870,26;24;35;269629;;;;;;;;;;
371;17292,01;24;35;270867;;;;;;;;;;
372;17724,31;24;35;272107;;;;;;;;;;
373;18167,42;24;35;273350;;;;;;;;;;
374;18621,61;24;35;274595;;;;;;;;;;
375;19087,15;24;35;275842;;;;;;;;;;
376;19564,33;24;35;277091;;;;;;;;;;
377;20053,44;24;35;278343;;;;;;;;;;
378;20554,77;24;35;279597;;;;;;;;;;
379;21068,64;24;35;280853;;;;;;;;;;
380;21595,36;24;35;282112;;;;;;;;;;
381;22135,24;24;35;283373;;;;;;;;;;
382;22688,62;24;35;284636;;;;;;;;;;
383;23255,84;24;35;285902;;;;;;;;;;
384;23837,23;24;35;287170;;;;;;;;;;
385;23837,23;25;35;288440;;;;;;;;;;
386;24433,16;25;35;289713;;;;;;;;;;
387;25043,99;25;35;290987;;;;;;;;;;
388;25670,09;25;35;292264;;;;;;;;;;
389;26311,84;25;35;293544;;;;;;;;;;
390;26969,64;25;35;294825;;;;;;;;;;
391;27643,88;25;35;296109;;;;;;;;;;
392;28334,98;25;35;297395;;;;;;;;;;
393;29043,35;25;35;298684;;;;;;;;;;
394;29769,44;25;35;299975;;;;;;;;;;
395;30513,67;25;35;301268;;;;;;;;;;
396;31276,51;25;35;302563;;;;;;;;;;
397;32058,43;25;35;303860;;;;;;;;;;
398;32859,89;25;35;305160;;;;;;;;;;
399;33681,39;25;35;306462;;;;;;;;;;
400;34523,42;25;35;307767;;;;;;;;;;
401;35386,51;25;35;309073;;;;;;;;;;
402;36271,17;25;35;310382;;;;;;;;;;
403;37177,95;25;35;311693;;;;;;;;;;
404;38107,40;25;35;313007;;;;;;;;;;
405;39060,08;25;35;314322;;;;;;;;;;
406;40036,58;25;35;315640;;;;;;;;;;
407;41037,50;25;35;316961;;;;;;;;;;
408;42063,44;25;35;318283;;;;;;;;;;
409;43115,02;25;35;319608;;;;;;;;;;
410;43115,02;25;34;320935;;;;;;;;;;
411;44192,90;25;34;322264;;;;;;;;;;
412;45297,72;25;34;323595;;;;;;;;;;
413;46430,16;25;34;324929;;;;;;;;;;
414;47590,92;25;34;326265;;;;;;;;;;
415;48780,69;25;34;327603;;;;;;;;;;
416;50000,21;25;34;328944;;;;;;;;;;
417;51250,21;25;34;330286;;;;;;;;;;
418;52531,47;25;34;331631;;;;;;;;;;
419;53844,75;25;34;332978;;;;;;;;;;
420;55190,87;25;34;334328;;;;;;;;;;
421;56570,64;25;34;335679;;;;;;;;;;
422;57984,91;25;34;337033;;;;;;;;;;
423;59434,53;25;34;338389;;;;;;;;;;
424;60920,40;25;34;339747;;;;;;;;;;
425;62443,41;25;34;341108;;;;;;;;;;
426;64004,49;25;34;342471;;;;;;;;;;
427;65604,60;25;34;343835;;;;;;;;;;
428;67244,72;25;34;345203;;;;;;;;;;
429;68925,84;25;34;346572;;;;;;;;;;
430;70648,98;25;34;347944;;;;;;;;;;
431;72415,21;25;34;349317;;;;;;;;;;
432;74225,59;25;34;350694;;;;;;;;;;
433;76081,23;25;34;352072;;;;;;;;;;
434;77983,26;25;34;353452;;;;;;;;;;
435;77983,26;26;34;354835;;;;;;;;;;
436;79932,84;26;34;356220;;;;;;;;;;
437;81931,16;26;34;357607;;;;;;;;;;
438;83979,44;26;34;358996;;;;;;;;;;
439;86078,92;26;34;360388;;;;;;;;;;
440;88230,90;26;34;361781;;;;;;;;;;
441;90436,67;26;34;363177;;;;;;;;;;
442;92697,59;26;34;364575;;;;;;;;;;
443;95015,03;26;34;365976;;;;;;;;;;
444;97390,40;26;34;367378;;;;;;;;;;
445;99825,16;26;34;368783;;;;;;;;;;
446;102320,79;26;34;370190;;;;;;;;;;
447;104878,81;26;34;371599;;;;;;;;;;
448;107500,78;26;34;373010;;;;;;;;;;
449;110188,30;26;34;374423;;;;;;;;;;
450;112943,01;26;34;375839;;;;;;;;;;
451;115766,58;26;34;377257;;;;;;;;;;
452;118660,75;26;34;378677;;;;;;;;;;
453;121627,27;26;34;380099;;;;;;;;;;
454;124667,95;26;34;381523;;;;;;;;;;
455;127784,65;26;34;382950;;;;;;;;;;
456;130979,26;26;34;384379;;;;;;;;;;
457;134253,75;26;34;385810;;;;;;;;;;
458;137610,09;26;34;387243;;;;;;;;;;
459;141050,34;26;34;388678;;;;;;;;;;
460;141050,34;26;33;390115;;;;;;;;;;
461;144576,60;26;33;391555;;;;;;;;;;
462;148191,02;26;33;392997;;;;;;;;;;
463;151895,79;26;33;394440;;;;;;;;;;
464;155693,19;26;33;395887;;;;;;;;;;
465;159585,51;26;33;397335;;;;;;;;;;
466;163575,15;26;33;398785;;;;;;;;;;
467;167664,53;26;33;400238;;;;;;;;;;
468;171856,14;26;33;401693;;;;;;;;;;
469;176152,55;26;33;403149;;;;;;;;;;
470;180556,36;26;33;404608;;;;;;;;;;
471;185070,27;26;33;406070;;;;;;;;;;
472;189697,03;26;33;407533;;;;;;;;;;
473;194439,45;26;33;408999;;;;;;;;;;
474;199300,44;26;33;410466;;;;;;;;;;
475;204282,95;26;33;411936;;;;;;;;;;
476;209390,02;26;33;413408;;;;;;;;;;
477;214624,78;26;33;414882;;;;;;;;;;
478;219990,39;26;33;416358;;;;;;;;;;
479;225490,15;26;33;417837;;;;;;;;;;
480;231127,41;26;33;419317;;;;;;;;;;
481;236905,59;26;33;420800;;;;;;;;;;
482;242828,23;26;33;422285;;;;;;;;;;
483;248898,94;26;33;423772;;;;;;;;;;
484;255121,41;26;33;425261;;;;;;;;;;
485;255121,41;27;33;426752;;;;;;;;;;
486;261499,45;27;33;428246;;;;;;;;;;
487;268036,93;27;33;429741;;;;;;;;;;
488;274737,86;27;33;431239;;;;;;;;;;
489;281606,30;27;33;432738;;;;;;;;;;
490;288646,46;27;33;434240;;;;;;;;;;
491;295862,62;27;33;435744;;;;;;;;;;
492;303259,19;27;33;437251;;;;;;;;;;
493;310840,67;27;33;438759;;;;;;;;;;
494;318611,69;27;33;440269;;;;;;;;;;
495;326576,98;27;33;441782;;;;;;;;;;
496;334741,40;27;33;443296;;;;;;;;;;
497;343109,94;27;33;444813;;;;;;;;;;
498;351687,69;27;33;446332;;;;;;;;;;
499;360479,88;27;33;447853;;;;;;;;;;
500;369491,87;27;33;449376;;;;;;;;;;
501;378729,17;27;33;450902;;;;;;;;;;
502;388197,40;27;33;452429;;;;;;;;;;
503;397902,34;27;33;453958;;;;;;;;;;
504;407849,89;27;33;455490;;;;;;;;;;
505;418046,14;27;33;457024;;;;;;;;;;
506;428497,29;27;33;458559;;;;;;;;;;
507;439209,73;27;33;460097;;;;;;;;;;
508;450189,97;27;33;461637;;;;;;;;;;
509;461444,72;27;33;463179;;;;;;;;;;
510;461444,72;27;32;464724;;;;;;;;;;
511;472980,84;27;32;466270;;;;;;;;;;
512;484805,36;27;32;467818;;;;;;;;;;
513;496925,49;27;32;469369;;;;;;;;;;
514;509348,63;27;32;470922;;;;;;;;;;
515;522082,35;27;32;472476;;;;;;;;;;
516;535134,40;27;32;474033;;;;;;;;;;
517;548512,76;27;32;475592;;;;;;;;;;
518;562225,58;27;32;477153;;;;;;;;;;
519;576281,22;27;32;478716;;;;;;;;;;
520;590688,25;27;32;480281;;;;;;;;;;
521;605455,46;27;32;481849;;;;;;;;;;
522;620591,85;27;32;483418;;;;;;;;;;
523;636106,64;27;32;484989;;;;;;;;;;
524;652009,31;27;32;486563;;;;;;;;;;
525;668309,54;27;32;488139;;;;;;;;;;
526;685017,28;27;32;489716;;;;;;;;;;
527;702142,71;27;32;491296;;;;;;;;;;
528;719696,28;27;32;492878;;;;;;;;;;
529;737688,69;27;32;494462;;;;;;;;;;
530;756130,90;27;32;496048;;;;;;;;;;
531;775034,18;27;32;497636;;;;;;;;;;
532;794410,03;27;32;499226;;;;;;;;;;
533;814270,28;27;32;500819;;;;;;;;;;
534;834627,04;27;32;502413;;;;;;;;;;
535;834627,04;28;32;504009;;;;;;;;;;
536;855492,71;28;32;505608;;;;;;;;;;
537;876880,03;28;32;507208;;;;;;;;;;
538;898802,03;28;32;508811;;;;;;;;;;
539;921272,08;28;32;510416;;;;;;;;;;
540;944303,89;28;32;512022;;;;;;;;;;
541;967911,48;28;32;513631;;;;;;;;;;
542;992109,27;28;32;515242;;;;;;;;;;
543;1016912,00;28;32;516855;;;;;;;;;;
544;1042334,80;28;32;518470;;;;;;;;;;
545;1068393,17;28;32;520087;;;;;;;;;;
546;1095103,00;28;32;521706;;;;;;;;;;
547;1122480,58;28;32;523327;;;;;;;;;;
548;1150542,59;28;32;524951;;;;;;;;;;
549;1179306,16;28;32;526576;;;;;;;;;;
550;1208788,81;28;32;528203;;;;;;;;;;
551;1239008,53;28;32;529833;;;;;;;;;;
552;1269983,74;28;32;531464;;;;;;;;;;
553;1301733,34;28;32;533098;;;;;;;;;;
554;1334276,67;28;32;534733;;;;;;;;;;
555;1367633,59;28;32;536371;;;;;;;;;;
556;1401824,43;28;32;538011;;;;;;;;;;
557;1436870,04;28;32;539652;;;;;;;;;;
558;1472791,79;28;32;541296;;;;;;;;;;
559;1509611,58;28;32;542942;;;;;;;;;;
560;1509611,58;28;31;544590;;;;;;;;;;
